#  试验概况 
台网,蒙特卡洛次数,成功,失败,3D误差>1km比例(%),严阈值成功(strict),补全兜底(completed)
原7台,300,300,0,10.416666666666668,298,2
20台加密,300,300,0,0.0,-,-

#  误差统计_原7台 
指标,均值,中位,95%分位,最大
水平误差(m),134.79352615675208,107.52559523089252,331.2581545020976,635.3971694484678
高程误差(m),454.529713357363,354.25778004913354,1195.9869002282342,1964.4787065959445
3D误差(m),485.79730984080527,373.91489368439727,1224.348663414286,2018.1502857756727
时刻误差(ms),522.5267874342942,394.48954044186735,1443.423772684013,2688.044913024944

#  误差统计_20台加密 
指标,均值,中位,95%分位,最大
水平误差(m),60.19922986240387,54.75846610490845,129.00245897921695,216.01013039420306
高程误差(m),168.94659947633426,136.82768588949875,449.219340075152,796.8893483787415
3D误差(m),186.61461355593863,148.62920873029697,456.9458670636376,809.8606527460125
时刻误差(ms),208.4688625131278,163.3703105371991,555.7984503704193,867.7159664876743

#  误差明细_原7台 
试验序号,残骸,水平误差(m),高程误差(m),3D误差(m),时刻误差(ms)
15,#2,274.9030945631441,1278.2344004286097,1307.461239899478,1612.5347023790387
15,#3,113.6789683102922,555.8948562416808,567.3993294250985,235.94218010855172
15,#4,243.34838151095286,101.96367820436535,263.8465964475639,291.5841607156473
16,#1,79.70216981918588,279.66872682062785,290.80411385562843,280.97476980214606
16,#2,62.34413882681919,289.7498279253887,296.3810966118623,196.06450133299091
16,#3,78.0576696710306,167.2840929282156,184.59947871347742,17.924128549182683
16,#4,62.560551739775235,156.8874277122104,168.90082181013548,171.20347258634717
17,#1,47.50136229749528,127.19546683478802,135.77579387887064,42.1760885639344
17,#2,30.684051183410443,116.60904225650665,120.57852102678116,227.72144123482184
17,#3,94.0503330323575,430.78928014120356,440.93635484962425,546.3703167585958
17,#4,45.45882758245633,72.59543476163526,85.6539675286693,345.04806236710726
18,#1,162.08491251120145,81.23770811370923,181.30384464575496,268.67791887022463
18,#2,218.9753673960789,306.74841664431733,376.88831587095325,444.5216357690018
18,#3,86.62913094801235,54.0014824833961,102.08215534172663,85.3184808374472
18,#4,29.423456701091865,46.13884305562715,54.72232307525715,97.1615556169585
19,#1,169.30507203979477,245.9035913171483,298.5511407465582,532.3529564362061
19,#2,319.4970313634027,1140.8014223253886,1184.6966861731557,1289.5934487484092
19,#3,95.82458168426072,107.64315389420153,144.11592221282945,7.5131353180957205
19,#4,152.77316184604763,236.05703023780006,281.1806545712708,518.403898422477
20,#1,251.95657195201926,458.88480191351664,523.504895466146,691.9974358366296
20,#2,193.53942520324082,1071.1602986005873,1088.5044301269977,1128.4149142706638
20,#3,69.61055538814198,202.02786088831817,213.6840798855994,416.04745519668995
20,#4,89.86892817704856,208.9672134712946,227.47246109727024,247.07454988067389
21,#1,280.61282987948516,950.2909299148487,990.8564032045213,1197.5156983829595
21,#2,154.8651033074657,587.2007413754818,607.2791046087026,698.471489758095
21,#3,73.89861090309181,122.82384875474781,143.34121011187162,244.82207612832417
21,#4,153.12792782134184,85.80033593527332,175.52737656976427,252.93090520160533
22,#1,44.28127902811319,826.7791904489332,827.9641667558801,653.5218163095137
22,#2,117.14425131390705,241.58152831991174,268.4854007972876,142.82007320975154
22,#3,121.37006674027708,183.88792704451407,220.33034927868616,321.23786395310105
22,#4,149.94646715730988,337.9778217181156,369.74714466278243,607.1074652816666
23,#1,177.69537692145,206.54426898197744,272.46317554589945,416.28875341956297
23,#2,188.54646843732814,831.7076732961596,852.8114824390556,948.2493968962231
23,#3,39.692460971914784,375.87963078124994,377.969560010136,300.1463870322052
